Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%,DayHigh,DayLow,Open,High,Low,Close
2015-12-24,TR,OOH,BEAR,HUGE OPEN,WBR,TR,-0.393,,,230.8,231.0,227.75,228.4
2015-12-28,BEAR,OIM,TR,NORMAL,SWR,TR,-0.327,,,229.3,229.95,228.0,228.6
2015-12-29,TR,OIM,BEAR,DOJI,SWR,TR,-0.415,,,229.1,229.95,227.5,228.4
2015-12-30,TR,OIM,BEAR,NORMAL,SWR,BEAR,-1.16,,,229.1,229.7,224.85,226.0
2015-12-31,BEAR,OOL,BEAR,NORMAL,WBR,TR,-0.022,,,226.1,226.55,224.0,224.75
2016-01-04,BEAR,OAR,TR,NORMAL,SWR,BEAR,-2.582,,,226.7,226.9,220.2,220.95
2016-01-05,BEAR,OIM,BEAR,DOJI,WBR,TR,-0.524,,,222.3,222.7,217.05,217.75
2016-01-06,BEAR,OOL,TR,DOJI,SWR,TR,-0.436,,,217.85,219.85,216.4,216.9
2016-01-07,TR,OBR,BEAR,NORMAL,SBR,BEAR,-1.293,,,213.8,213.8,209.0,209.9
2016-01-08,BEAR,OIM,BEAR,DOJI,SWR,TR,-0.594,,,211.9,212.5,208.6,208.9
2016-01-11,BEAR,OBR,BEAR,HUGE OPEN,SBR,TR,0.541,,,206.5,207.45,202.65,204.8
2016-01-12,TR,OIM,BEAR,NORMAL,SWR,BEAR,-2.156,,,204.8,205.0,198.65,199.6
2016-01-13,BEAR,OIM,TR,NORMAL,SWR,TR,-0.099,,,201.35,202.3,194.0,201.2
2016-01-14,TR,OIM,BULL,NORMAL,SWR,TR,0.102,,,196.8,201.5,194.3,195.7
2016-01-15,TR,OIM,BEAR,NORMAL,SWR,BEAR,-5.773,,,197.05,197.8,181.1,183.3
2016-01-18,BEAR,OOL,TR,NORMAL,SWR,BEAR,-1.225,,,184.7,188.0,179.15,180.9
2016-01-19,TR,OIM,BULL,NORMAL,SWR,TR,-0.435,,,182.4,187.2,181.6,183.5
2016-01-20,TR,OBR,BEAR,NORMAL,SBR,BEAR,-1.67,,,180.5,180.5,171.5,173.6
2016-01-21,BEAR,OIM,BEAR,DOJI,SWR,BEAR,-0.764,,,177.0,178.6,172.1,176.2
2016-01-22,TR,OAR,BULL,DOJI,SAR,BULL,2.246,,,179.0,185.4,178.3,184.65
2016-01-25,BULL,OAR,TR,DOJI,SAR,BEAR,-2.447,,,187.85,188.8,182.5,182.8
2016-01-27,BEAR,OOL,BEAR,NORMAL,WBR,BULL,1.626,,,184.3,186.1,181.05,184.2
2016-01-28,TR,OIM,BEAR,NORMAL,SWR,BULL,1.338,,,184.15,185.9,182.5,185.75
